"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 06 15:52:06 MSK 2021","Thu May 06 15:52:06 MSK 2021","94","","","","","","Существующие элементы : Справочник._рарКонтекстыXBRL.Форма.ФормаЭлемента - <PI_ClientManager>","Тест_ОткрытьФормуСуществующегоЭлементаСправочника"
"passed","Thu May 06 15:52:23 MSK 2021","Thu May 06 15:52:24 MSK 2021","88","","","","","","Существующие элементы : Справочник.События.Форма.ФормаЭлемента - <PI_ClientManager>","Тест_ОткрытьФормуСуществующегоЭлементаСправочника"
"passed","Thu May 06 15:52:24 MSK 2021","Thu May 06 15:52:24 MSK 2021","31","","","","","","Существующие элементы : Справочник.СтатьиДвиженияДенежныхСредств.Форма.ФормаЭлемента - <PI_ClientManager>","Тест_ОткрытьФормуСуществующегоЭлементаСправочника"
"passed","Thu May 06 15:52:30 MSK 2021","Thu May 06 15:52:30 MSK 2021","6","","","","","","Перенос документа на текущий день : Документ.ВалютнаяСделка1.Форма.ФормаДокумента - <PI_ClientManager>","Тест_ПеренестиДокументНаТекущийДень_и_ОткрытьЕгоФорму"
"passed","Thu May 06 15:52:15 MSK 2021","Thu May 06 15:52:15 MSK 2021","45","","","","","","Существующие элементы : Справочник.ДокументыУдостоверяющиеЛичность.Форма.ФормаЭлемента - <PI_ClientManager>","Тест_ОткрытьФормуСуществующегоЭлементаСправочника"
"passed","Thu May 06 15:52:27 MSK 2021","Thu May 06 15:52:27 MSK 2021","26","","","","","","Справочник.ХранениеДанных.Форма.ФормаСписка - <PI_ClientManager>","ТестДолжен_ОткрытьФорму_ПоМетаФорме"
"passed","Thu May 06 15:52:09 MSK 2021","Thu May 06 15:52:09 MSK 2021","58","","","","","","Существующие элементы : Справочник.Банки.Форма.ФормаЭлемента - <PI_ClientManager>","Тест_ОткрытьФормуСуществующегоЭлементаСправочника"
"passed","Thu May 06 15:52:17 MSK 2021","Thu May 06 15:52:17 MSK 2021","135","","","","","","Существующие элементы : Справочник.КонтактныеЛица.Форма.ФормаЭлемента - <PI_ClientManager>","Тест_ОткрытьФормуСуществующегоЭлементаСправочника"
"skipped","Thu May 06 15:52:20 MSK 2021","Thu May 06 15:52:20 MSK 2021","2","","","","","","Новые через копирование элементы : объект находится в исключениях : Справочник.МестаХранения1.Форма.ФормаГруппы - <PI_ClientManager>","ТестДолжен_ПропуститьТестФормы"
"skipped","Thu May 06 15:52:28 MSK 2021","Thu May 06 15:52:28 MSK 2021","2","","","","","","Новые через копирование элементы : объект находится в исключениях : Справочник.ЭталоныОтчетов.Форма.ФормаЭлемента - <PI_ClientManager>","ТестДолжен_ПропуститьТестФормы"
"passed","Thu May 06 15:52:38 MSK 2021","Thu May 06 15:52:38 MSK 2021","42","","","","","","Новые документы : Документ.ПереоценкаВалютныхОстатков.Форма.ФормаДокумента - <PI_ClientManager>","Тест_ОткрытьФормуНовогоДокумента"
"skipped","Thu May 06 15:52:41 MSK 2021","Thu May 06 15:52:41 MSK 2021","2","","","","","","объект находится в исключениях : Документ.РегламентированныйОтчет.Форма.ФормаСписка - <PI_ClientManager>","ТестДолжен_ПропуститьТестФормы"
"passed","Thu May 06 15:52:41 MSK 2021","Thu May 06 15:52:41 MSK 2021","3","","","","","","Перенос документа на текущий день : Документ.РасчетСЧА.Форма.ФормаДокумента - <PI_ClientManager>","Тест_ПеренестиДокументНаТекущийДень_и_ОткрытьЕгоФорму"
"broken","Thu May 06 15:52:38 MSK 2021","Thu May 06 15:52:38 MSK 2021","66","","","","","","Новые документы : Документ.ПеререгистрацияЦБ.Форма.ФормаДокумента - <PI_ClientManager>","Тест_ОткрытьФормуНовогоДокумента"
"passed","Thu May 06 15:52:37 MSK 2021","Thu May 06 15:52:37 MSK 2021","21","","","","","","Документ.ОткрытыеПозиции.Форма.ФормаСписка - <PI_ClientManager>","ТестДолжен_ОткрытьФорму_ПоМетаФорме"
"passed","Thu May 06 15:52:24 MSK 2021","Thu May 06 15:52:24 MSK 2021","61","","","","","","Новые через копирование элементы : Справочник.СпискиЛиквидныхБумаг.Форма.ФормаЭлемента - <PI_ClientManager>","Тест_ОткрытьФормуНовогоЭлементаСправочникаСоздаваемогоКопированием"
"passed","Thu May 06 15:52:24 MSK 2021","Thu May 06 15:52:24 MSK 2021","26","","","","","","Справочник.Субконто.Форма.ФормаСписка - <PI_ClientManager>","ТестДолжен_ОткрытьФорму_ПоМетаФорме"
"passed","Thu May 06 15:52:33 MSK 2021","Thu May 06 15:52:33 MSK 2021","173","","","","","","Новые документы : Документ.НазначениеГлобальныхЛимитов.Форма.ФормаДокументаУправляемая - <PI_ClientManager>","Тест_ОткрытьФормуНовогоДокумента"
"passed","Thu May 06 15:52:22 MSK 2021","Thu May 06 15:52:22 MSK 2021","39","","","","","","Новые через копирование элементы : Справочник.РегламентированныеОтчеты.Форма.ФормаГруппы - <PI_ClientManager>","Тест_ОткрытьФормуНовогоЭлементаСправочникаСоздаваемогоКопированием"
"passed","Thu May 06 15:52:33 MSK 2021","Thu May 06 15:52:33 MSK 2021","126","","","","","","Перенос документа на текущий день : Документ.НачислениеИОплатаКомиссии.Форма.ФормаДокумента - <PI_ClientManager>","Тест_ПеренестиДокументНаТекущийДень_и_ОткрытьЕгоФорму"
"passed","Thu May 06 15:52:42 MSK 2021","Thu May 06 15:52:42 MSK 2021","6","","","","","","Перенос документа на текущий день : Документ.СделкаМены.Форма.ФормаДокумента - <PI_ClientManager>","Тест_ПеренестиДокументНаТекущийДень_и_ОткрытьЕгоФорму"
"passed","Thu May 06 15:52:22 MSK 2021","Thu May 06 15:52:22 MSK 2021","80","","","","","","Новые элементы : Справочник.Портфели.Форма.ФормаЭлемента - <PI_ClientManager>","Тест_ОткрытьФормуНовогоЭлементаСправочника"
"passed","Thu May 06 15:52:31 MSK 2021","Thu May 06 15:52:31 MSK 2021","10","","","","","","Существующие документы : Документ.ЗакрытиеГода.Форма.ФормаДокумента - <PI_ClientManager>","Тест_ОткрытьФормуСуществующегоДокумента"
"passed","Thu May 06 15:52:10 MSK 2021","Thu May 06 15:52:10 MSK 2021","59","","","","","","Новые элементы : Справочник.БанковскиеРеквизиты.Форма.ФормаЭлемента - <PI_ClientManager>","Тест_ОткрытьФормуНовогоЭлементаСправочника"
"passed","Thu May 06 15:52:31 MSK 2021","Thu May 06 15:52:31 MSK 2021","4","","","","","","Перенос документа на текущий день : Документ.ЗакрытиеГода.Форма.ФормаДокумента - <PI_ClientManager>","Тест_ПеренестиДокументНаТекущийДень_и_ОткрытьЕгоФорму"
"skipped","Thu May 06 15:52:28 MSK 2021","Thu May 06 15:52:28 MSK 2021","4","","","","","","Существующие элементы : объект находится в исключениях : Справочник.ЭталоныОтчетов.Форма.ФормаГруппы - <PI_ClientManager>","ТестДолжен_ПропуститьТестФормы"
"passed","Thu May 06 15:52:22 MSK 2021","Thu May 06 15:52:22 MSK 2021","31","","","","","","Новые через копирование элементы : Справочник.РегистрИзменений.Форма.ФормаЭлемента - <PI_ClientManager>","Тест_ОткрытьФормуНовогоЭлементаСправочникаСоздаваемогоКопированием"
"passed","Thu May 06 15:52:32 MSK 2021","Thu May 06 15:52:33 MSK 2021","90","","","","","","Новые документы : Документ.МаржинальныйУчетОткрытиеДня.Форма.ФормаДокумента - <PI_ClientManager>","Тест_ОткрытьФормуНовогоДокумента"
"passed","Thu May 06 15:52:07 MSK 2021","Thu May 06 15:52:07 MSK 2021","124","","","","","","Существующие элементы : Справочник._рарОтчетныеФормыXBRL.Форма.ФормаЭлемента - <PI_ClientManager>","Тест_ОткрытьФормуСуществующегоЭлементаСправочника"
"skipped","Thu May 06 15:52:20 MSK 2021","Thu May 06 15:52:20 MSK 2021","3","","","","","","Существующие элементы : объект находится в исключениях : Справочник.МестаХранения1.Форма.ФормаЭлемента - <PI_ClientManager>","ТестДолжен_ПропуститьТестФормы"
"passed","Thu May 06 15:52:32 MSK 2021","Thu May 06 15:52:32 MSK 2021","7","","","","","","Существующие документы : Документ.ИсполнениеОперацииНаВалютномРынке.Форма.ФормаДокумента - <PI_ClientManager>","Тест_ОткрытьФормуСуществующегоДокумента"
"passed","Thu May 06 15:52:28 MSK 2021","Thu May 06 15:52:28 MSK 2021","57","","","","","","Существующие элементы : Справочник.ТипыКонтрактов.Форма.ФормаЭлемента - <PI_ClientManager>","Тест_ОткрытьФормуСуществующегоЭлементаСправочника"
"passed","Thu May 06 15:52:29 MSK 2021","Thu May 06 15:52:29 MSK 2021","99","","","","","","Документ._рарЭлектронныйДокумент.Форма.ФормаСписка - <PI_ClientManager>","ТестДолжен_ОткрытьФорму_ПоМетаФорме"
"passed","Thu May 06 15:52:08 MSK 2021","Thu May 06 15:52:08 MSK 2021","183","","","","","","Существующие элементы : Справочник.АвтоматическиеОперации.Форма.ФормаЭлемента - <PI_ClientManager>","Тест_ОткрытьФормуСуществующегоЭлементаСправочника"
"passed","Thu May 06 15:52:20 MSK 2021","Thu May 06 15:52:20 MSK 2021","66","","","","","","Существующие элементы : Справочник.НазначениеКодовСинхронизации.Форма.ФормаЭлемента - <PI_ClientManager>","Тест_ОткрытьФормуСуществующегоЭлементаСправочника"
"failed","Thu May 06 15:52:11 MSK 2021","Thu May 06 15:52:11 MSK 2021","39","","","","","","Новые через копирование элементы : Справочник.ВидыДенежныхСредствВПути.Форма.ФормаЭлемента - <PI_ClientManager>","Тест_ОткрытьФормуНовогоЭлементаСправочникаСоздаваемогоКопированием"
"skipped","Thu May 06 15:52:36 MSK 2021","Thu May 06 15:52:36 MSK 2021","3","","","","","","Существующие документы : объект находится в исключениях : Документ.ОперацияНаВалютномРынкеАрхив.Форма.ФормаДокумента - <PI_ClientManager>","ТестДолжен_ПропуститьТестФормы"
"passed","Thu May 06 15:52:40 MSK 2021","Thu May 06 15:52:41 MSK 2021","66","","","","","","Новые документы : Документ.РасчетКомиссииПМ.Форма.ФормаДокумента - <PI_ClientManager>","Тест_ОткрытьФормуНовогоДокумента"
"passed","Thu May 06 15:52:09 MSK 2021","Thu May 06 15:52:09 MSK 2021","27","","","","","","Новые элементы : Справочник.Банки.Форма.ФормаЭлемента - <PI_ClientManager>","Тест_ОткрытьФормуНовогоЭлементаСправочника"
"skipped","Thu May 06 15:52:36 MSK 2021","Thu May 06 15:52:36 MSK 2021","4","","","","","","Существующие документы : объект находится в исключениях : Документ.ОперацииНаСрочномРынкеАрхив.Форма.ФормаДокумента - <PI_ClientManager>","ТестДолжен_ПропуститьТестФормы"
"passed","Thu May 06 15:52:22 MSK 2021","Thu May 06 15:52:22 MSK 2021","15","","","","","","Справочник.Пользователи.Форма.ФормаВыбораГруппы - <PI_ClientManager>","ТестДолжен_ОткрытьФорму_ПоМетаФорме"
"passed","Thu May 06 15:52:38 MSK 2021","Thu May 06 15:52:38 MSK 2021","4","","","","","","Перенос документа на текущий день : Документ.ПереоценкаВалютныхОстатков.Форма.ФормаДокумента - <PI_ClientManager>","Тест_ПеренестиДокументНаТекущийДень_и_ОткрытьЕгоФорму"
"passed","Thu May 06 15:52:33 MSK 2021","Thu May 06 15:52:33 MSK 2021","91","","","","","","Новые документы : Документ.НачислениеДивидендов.Форма.ФормаДокумента - <PI_ClientManager>","Тест_ОткрытьФормуНовогоДокумента"
"passed","Thu May 06 15:52:12 MSK 2021","Thu May 06 15:52:13 MSK 2021","14","","","","","","Справочник.ВнешниеОбработки.Форма.ФормаСписка - <PI_ClientManager>","ТестДолжен_ОткрытьФорму_ПоМетаФорме"
"passed","Thu May 06 15:52:20 MSK 2021","Thu May 06 15:52:20 MSK 2021","52","","","","","","Новые через копирование элементы : Справочник.НовыеТарифныеПланы.Форма.ФормаЭлемента - <PI_ClientManager>","Тест_ОткрытьФормуНовогоЭлементаСправочникаСоздаваемогоКопированием"
"passed","Thu May 06 15:52:17 MSK 2021","Thu May 06 15:52:17 MSK 2021","150","","","","","","Справочник.Комиссии.Форма.ФормаСписка - <PI_ClientManager>","ТестДолжен_ОткрытьФорму_ПоМетаФорме"
"passed","Thu May 06 15:52:15 MSK 2021","Thu May 06 15:52:15 MSK 2021","44","","","","","","Новые элементы : Справочник.ИнформационныеБазыОбменаДанными.Форма.ФормаЭлемента - <PI_ClientManager>","Тест_ОткрытьФормуНовогоЭлементаСправочника"
"passed","Thu May 06 15:52:26 MSK 2021","Thu May 06 15:52:26 MSK 2021","100","","","","","","Новые через копирование элементы : Справочник.УчетныеЗаписиЭлектроннойПочты.Форма.ФормаЭлемента - <PI_ClientManager>","Тест_ОткрытьФормуНовогоЭлементаСправочникаСоздаваемогоКопированием"
"passed","Thu May 06 15:52:32 MSK 2021","Thu May 06 15:52:32 MSK 2021","135","","","","","","Новые документы : Документ.КорректировкаЗаписейРегистров.Форма.ФормаДокумента - <PI_ClientManager>","Тест_ОткрытьФормуНовогоДокумента"
"passed","Thu May 06 15:52:08 MSK 2021","Thu May 06 15:52:08 MSK 2021","44","","","","","","Новые через копирование элементы : Справочник._рарТипыСсылочныхОбъектов.Форма.ФормаЭлемента - <PI_ClientManager>","Тест_ОткрытьФормуНовогоЭлементаСправочникаСоздаваемогоКопированием"
"passed","Thu May 06 15:52:33 MSK 2021","Thu May 06 15:52:33 MSK 2021","7","","","","","","Существующие документы : Документ.НачислениеДивидендов.Форма.ФормаДокумента - <PI_ClientManager>","Тест_ОткрытьФормуСуществующегоДокумента"
"passed","Thu May 06 15:52:39 MSK 2021","Thu May 06 15:52:39 MSK 2021","232","","","","","","Новые документы : Документ.ПоручениеКлиента.Форма.ФормаДокумента - <PI_ClientManager>","Тест_ОткрытьФормуНовогоДокумента"
"passed","Thu May 06 15:52:44 MSK 2021","Thu May 06 15:52:44 MSK 2021","25","","","","","","Документ.Тарифы.Форма.ФормаСписка - <PI_ClientManager>","ТестДолжен_ОткрытьФорму_ПоМетаФорме"
"passed","Thu May 06 15:52:28 MSK 2021","Thu May 06 15:52:28 MSK 2021","29","","","","","","Новые через копирование элементы : Справочник.КонтрольныеВопросыКонтрагентов.Форма.ФормаЭлемента - <PI_ClientManager>","Тест_ОткрытьФормуНовогоЭлементаСправочникаСоздаваемогоКопированием"
"skipped","Thu May 06 15:52:41 MSK 2021","Thu May 06 15:52:41 MSK 2021","2","","","","","","Новые документы : объект находится в исключениях : Документ.РегламентированныйОтчет.Форма.ФормаДокумента - <PI_ClientManager>","ТестДолжен_ПропуститьТестФормы"
"skipped","Thu May 06 15:52:31 MSK 2021","Thu May 06 15:52:31 MSK 2021","2","","","","","","Существующие документы : объект находится в исключениях : Документ.ВнебиржеваяСделкаАрхив.Форма.ФормаДокумента - <PI_ClientManager>","ТестДолжен_ПропуститьТестФормы"
"passed","Thu May 06 15:52:23 MSK 2021","Thu May 06 15:52:23 MSK 2021","81","","","","","","Новые через копирование элементы : Справочник.СведенияОДепонентеКонтрагенте.Форма.ФормаЭлемента - <PI_ClientManager>","Тест_ОткрытьФормуНовогоЭлементаСправочникаСоздаваемогоКопированием"
"passed","Thu May 06 15:52:22 MSK 2021","Thu May 06 15:52:22 MSK 2021","30","","","","","","Новые элементы : Справочник.РегистрИзменений.Форма.ФормаЭлемента - <PI_ClientManager>","Тест_ОткрытьФормуНовогоЭлементаСправочника"
"passed","Thu May 06 15:52:30 MSK 2021","Thu May 06 15:52:30 MSK 2021","96","","","","","","Новые документы : Документ.ВалютнаяСделка1.Форма.ФормаДокумента - <PI_ClientManager>","Тест_ОткрытьФормуНовогоДокумента"
"passed","Thu May 06 15:52:20 MSK 2021","Thu May 06 15:52:20 MSK 2021","108","","","","","","Справочник.НазначениеКодовСинхронизации.Форма.ФормаСписка - <PI_ClientManager>","ТестДолжен_ОткрытьФорму_ПоМетаФорме"
"skipped","Thu May 06 15:52:28 MSK 2021","Thu May 06 15:52:28 MSK 2021","5","","","","","","объект находится в исключениях : Справочник.ЭталоныОтчетов.Форма.ФормаСписка - <PI_ClientManager>","ТестДолжен_ПропуститьТестФормы"
"passed","Thu May 06 15:52:36 MSK 2021","Thu May 06 15:52:36 MSK 2021","6","","","","","","Перенос документа на текущий день : Документ.ОперацииСВекселями.Форма.ФормаДокумента - <PI_ClientManager>","Тест_ПеренестиДокументНаТекущийДень_и_ОткрытьЕгоФорму"
"passed","Thu May 06 15:52:20 MSK 2021","Thu May 06 15:52:20 MSK 2021","16","","","","","","Справочник.НовыеТарифныеПланы.Форма.ФормаСписка - <PI_ClientManager>","ТестДолжен_ОткрытьФорму_ПоМетаФорме"
"passed","Thu May 06 15:52:29 MSK 2021","Thu May 06 15:52:29 MSK 2021","20","","","","","","Документ.CRSРепорт.Форма.ФормаСписка - <PI_ClientManager>","ТестДолжен_ОткрытьФорму_ПоМетаФорме"
"passed","Thu May 06 15:52:34 MSK 2021","Thu May 06 15:52:34 MSK 2021","63","","","","","","Новые документы : Документ.НачислениеПроцентовПоДепозитам.Форма.ФормаДокумента - <PI_ClientManager>","Тест_ОткрытьФормуНовогоДокумента"
"passed","Thu May 06 15:52:32 MSK 2021","Thu May 06 15:52:32 MSK 2021","9","","","","","","Существующие документы : Документ.Конвертация.Форма.ФормаДокумента - <PI_ClientManager>","Тест_ОткрытьФормуСуществующегоДокумента"
"passed","Thu May 06 15:52:32 MSK 2021","Thu May 06 15:52:32 MSK 2021","87","","","","","","Документ.ИсполнениеОперацииНаВалютномРынке.Форма.ФормаСписка - <PI_ClientManager>","ТестДолжен_ОткрытьФорму_ПоМетаФорме"
"passed","Thu May 06 15:52:09 MSK 2021","Thu May 06 15:52:09 MSK 2021","83","","","","","","Справочник.АналитическиеСчета.Форма.ФормаСписка - <PI_ClientManager>","ТестДолжен_ОткрытьФорму_ПоМетаФорме"
"passed","Thu May 06 15:52:09 MSK 2021","Thu May 06 15:52:09 MSK 2021","21","","","","","","Новые элементы : Справочник.Банки.Форма.ФормаГруппы - <PI_ClientManager>","Тест_ОткрытьФормуНовогоЭлементаСправочника"
"passed","Thu May 06 15:52:28 MSK 2021","Thu May 06 15:52:28 MSK 2021","14","","","","","","Новые элементы : Справочник.ТипыСчетов.Форма.ФормаЭлемента - <PI_ClientManager>","Тест_ОткрытьФормуНовогоЭлементаСправочника"
"passed","Thu May 06 15:52:44 MSK 2021","Thu May 06 15:52:44 MSK 2021","6","","","","","","Существующие документы : Документ.СписаниеКомиссииЗаВедениеСчета.Форма.ФормаДокумента - <PI_ClientManager>","Тест_ОткрытьФормуСуществующегоДокумента"
"passed","Thu May 06 15:52:20 MSK 2021","Thu May 06 15:52:20 MSK 2021","20","","","","","","Справочник.МестаХранения.Форма.ФормаВыбора - <PI_ClientManager>","ТестДолжен_ОткрытьФорму_ПоМетаФорме"
"passed","Thu May 06 15:52:26 MSK 2021","Thu May 06 15:52:26 MSK 2021","142","","","","","","Существующие элементы : Справочник.ФизическиеЛица.Форма.ФормаЭлемента - <PI_ClientManager>","Тест_ОткрытьФормуСуществующегоЭлементаСправочника"
"passed","Thu May 06 15:52:21 MSK 2021","Thu May 06 15:52:21 MSK 2021","30","","","","","","Существующие элементы : Справочник.ПереченьЗагружаемыхЦенныхБумаг.Форма.ФормаЭлемента - <PI_ClientManager>","Тест_ОткрытьФормуСуществующегоЭлементаСправочника"
"passed","Thu May 06 15:52:34 MSK 2021","Thu May 06 15:52:34 MSK 2021","23","","","","","","Документ.НачислениеПроцентовПоДепозитам.Форма.ФормаСписка - <PI_ClientManager>","ТестДолжен_ОткрытьФорму_ПоМетаФорме"
"passed","Thu May 06 15:52:27 MSK 2021","Thu May 06 15:52:27 MSK 2021","86","","","","","","Справочник.ФизическиеЛица.Форма.ФормаВыбора - <PI_ClientManager>","ТестДолжен_ОткрытьФорму_ПоМетаФорме"
"passed","Thu May 06 15:52:38 MSK 2021","Thu May 06 15:52:38 MSK 2021","6","","","","","","Существующие документы : Документ.ПереоценкаВалютныхОстатков.Форма.ФормаДокумента - <PI_ClientManager>","Тест_ОткрытьФормуСуществующегоДокумента"
"passed","Thu May 06 15:52:22 MSK 2021","Thu May 06 15:52:22 MSK 2021","32","","","","","","Справочник.Портфели.Форма.ФормаСписка - <PI_ClientManager>","ТестДолжен_ОткрытьФорму_ПоМетаФорме"
"skipped","Thu May 06 15:52:28 MSK 2021","Thu May 06 15:52:28 MSK 2021","3","","","","","","Существующие элементы : объект находится в исключениях : Справочник.ЭталоныОтчетов.Форма.ФормаЭлемента - <PI_ClientManager>","ТестДолжен_ПропуститьТестФормы"
